implementation,r,variant,sample,check,mismatches,max_gap,status,evidence
wrapper,2,torus_to_dft_rows,2,combined_vs_split,0,0,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r2_torus_to_dft_rows_2.log
wrapper,2,torus_to_dft_rows,3,combined_vs_split,0,0,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r2_torus_to_dft_rows_3.log
wrapper,2,torus_to_dft_rows,4,combined_vs_split,0,0,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r2_torus_to_dft_rows_4.log
wrapper,2,torus_to_dft_rows,5,combined_vs_split,0,0,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r2_torus_to_dft_rows_5.log
wrapper,2,torus_to_dft_rows,6,combined_vs_split,0,0,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r2_torus_to_dft_rows_6.log
wrapper,2,torus_to_dft_rows,7,combined_vs_split,0,0,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r2_torus_to_dft_rows_7.log
wrapper,2,torus_to_dft_rows,8,combined_vs_split,0,0,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r2_torus_to_dft_rows_8.log
wrapper,2,torus_to_dft_rows,9,combined_vs_split,0,0,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r2_torus_to_dft_rows_9.log
wrapper,2,combined_current,0,combined_vs_split,0,0,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r2_combined_current_0.log
wrapper,2,combined_current,1,combined_vs_split,0,0,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r2_combined_current_1.log
wrapper,2,combined_current,2,combined_vs_split,0,0,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r2_combined_current_2.log
wrapper,2,combined_current,3,combined_vs_split,0,0,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r2_combined_current_3.log
wrapper,2,combined_current,4,combined_vs_split,0,0,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r2_combined_current_4.log
wrapper,2,combined_current,5,combined_vs_split,0,0,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r2_combined_current_5.log
wrapper,2,combined_current,6,combined_vs_split,0,0,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r2_combined_current_6.log
wrapper,2,combined_current,7,combined_vs_split,0,0,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r2_combined_current_7.log
wrapper,2,combined_current,8,combined_vs_split,0,0,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r2_combined_current_8.log
wrapper,2,combined_current,9,combined_vs_split,0,0,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r2_combined_current_9.log
wrapper,4,torus_to_dft_rows,0,combined_vs_split,0,0,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r4_torus_to_dft_rows_0.log
wrapper,4,torus_to_dft_rows,1,combined_vs_split,0,0,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r4_torus_to_dft_rows_1.log
wrapper,4,torus_to_dft_rows,2,combined_vs_split,0,0,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r4_torus_to_dft_rows_2.log
wrapper,4,torus_to_dft_rows,3,combined_vs_split,0,0,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r4_torus_to_dft_rows_3.log
wrapper,4,torus_to_dft_rows,4,combined_vs_split,0,0,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r4_torus_to_dft_rows_4.log
wrapper,4,torus_to_dft_rows,5,combined_vs_split,0,0,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r4_torus_to_dft_rows_5.log
wrapper,4,torus_to_dft_rows,6,combined_vs_split,0,0,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r4_torus_to_dft_rows_6.log
wrapper,4,torus_to_dft_rows,7,combined_vs_split,0,0,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r4_torus_to_dft_rows_7.log
wrapper,4,torus_to_dft_rows,8,combined_vs_split,0,0,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r4_torus_to_dft_rows_8.log
wrapper,4,torus_to_dft_rows,9,combined_vs_split,0,0,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r4_torus_to_dft_rows_9.log
wrapper,4,combined_current,0,combined_vs_split,0,0,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r4_combined_current_0.log
wrapper,4,combined_current,1,combined_vs_split,0,0,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r4_combined_current_1.log
wrapper,4,combined_current,2,combined_vs_split,0,0,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r4_combined_current_2.log
wrapper,4,combined_current,3,combined_vs_split,0,0,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r4_combined_current_3.log
wrapper,4,combined_current,4,combined_vs_split,0,0,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r4_combined_current_4.log
wrapper,4,combined_current,5,combined_vs_split,0,0,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r4_combined_current_5.log
wrapper,4,combined_current,6,combined_vs_split,0,0,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r4_combined_current_6.log
wrapper,4,combined_current,7,combined_vs_split,0,0,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r4_combined_current_7.log
wrapper,4,combined_current,8,combined_vs_split,0,0,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r4_combined_current_8.log
wrapper,4,combined_current,9,combined_vs_split,0,0,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r4_combined_current_9.log
